level_0,OD,u,qpt,Upt,Uc,Um,WT,phi,Ipt,qc,ttc,ttpt,budget,objective
0,12_16,0.0,63.23025549597332,0.0,0.0,0.0,0.08696735481876645,0.1162397400615711,77.11874135011385,0.0,0.0,0.0333,900000,179.3217551561234
1,12_24,0.0,106.3519900917002,0.0,0.0,0.0,0.1357522980718533,0.8763004587531786,0.0,0.0,0.0,0.05,900000,179.3217551561234
2,13_16,0.03543097661837874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.04,0.03543097661837874,10.0,900000,179.3217551561234
3,13_23,0.05678810594973781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.9,0.05678810594973781,10.0,900000,179.3217551561234
4,13_24,0.01420769616781213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.58,0.01420769616781213,10.0,900000,179.3217551561234
5,14_12,0.01245416232187033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.23025549597332,0.01245416232187033,10.0,900000,179.3217551561234
6,14_16,0.04361361200424301,0.0,-3.1,-0.1130840836012729,7.548809731856879,0.0,0.0,0.0,0.02974450402680873,0.04361361200424301,10.0,900000,179.3217551561234
7,14_23,0.04943554631041431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.14,0.04943554631041431,10.0,900000,179.3217551561234
8,16_24,0.04680683950013766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.45,0.04680683950013766,10.0,900000,179.3217551561234
9,1_24,0.05338870927875529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.84,0.05338870927875529,10.0,900000,179.3217551561234
10,23_12,0.04419382957179079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.3519900917002,0.04419382957179079,10.0,900000,179.3217551561234
11,23_13,0.05678810594973781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.59,0.05678810594973781,10.0,900000,179.3217551561234
12,23_14,0.04943554631041431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.04943554631041431,10.0,900000,179.3217551561234
13,23_24,0.05262877380630897,0.0,-3.1,-0.1157886321418927,-0.344243930043729,0.0,0.0,0.0,133.6480099082998,0.05262877380630897,10.0,900000,179.3217551561234
14,23_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.73,0.0,10.0,900000,179.3217551561234
15,24_16,0.04680683950013766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.06,0.04680683950013766,10.0,900000,179.3217551561234
16,24_23,0.05262877380630896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.39,0.05262877380630896,10.0,900000,179.3217551561234
17,3_13,0.02357165514183931,24.83583099490099,-0.1553456239803821,-0.1070714965425518,0.0,0.01224891428062129,0.1583047510215307,0.0,26.06416900509904,0.02357165514183931,0.0667,900000,179.3217551561234
18,3_16,0.05194528341267282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9,0.05194528341267282,10.0,900000,179.3217551561234
19,3_23,0.07330241274403192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.3,0.07330241274403192,10.0,900000,179.3217551561234
20,3_24,0.03072200296210622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9,0.03072200296210622,10.0,900000,179.3217551561234
21,8_24,0.03738868711603827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.2,0.03738868711603827,10.0,900000,179.3217551561234
22,9_13,0.02454754083343747,33.998677576677,-0.1645983049565381,-0.1073642622500312,0.0,0.01676798684033152,0.2228394920631502,0.0,36.001322423323,0.02454754083343747,0.05,900000,179.3217551561234
0,12_16,0.0,63.23025549597332,0.0,0.0,0.0,0.08696735481876645,0.1162397400615711,77.11874135011385,0.0,0.0,0.0333,1000000,179.3217551561234
1,12_24,0.0,106.3519900917002,0.0,0.0,0.0,0.1357522980718533,0.8763004587531786,0.0,0.0,0.0,0.05,1000000,179.3217551561234
2,13_16,0.03543097661837874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.04,0.03543097661837874,10.0,1000000,179.3217551561234
3,13_23,0.05678810594973781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.9,0.05678810594973781,10.0,1000000,179.3217551561234
4,13_24,0.01420769616781213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.58,0.01420769616781213,10.0,1000000,179.3217551561234
5,14_12,0.01245416232187033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.23025549597332,0.01245416232187033,10.0,1000000,179.3217551561234
6,14_16,0.04361361200424301,0.0,-3.1,-0.1130840836012729,7.548809731856879,0.0,0.0,0.0,0.02974450402680873,0.04361361200424301,10.0,1000000,179.3217551561234
7,14_23,0.04943554631041431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.14,0.04943554631041431,10.0,1000000,179.3217551561234
8,16_24,0.04680683950013766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.45,0.04680683950013766,10.0,1000000,179.3217551561234
9,1_24,0.05338870927875529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.84,0.05338870927875529,10.0,1000000,179.3217551561234
10,23_12,0.04419382957179079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.3519900917002,0.04419382957179079,10.0,1000000,179.3217551561234
11,23_13,0.05678810594973781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.59,0.05678810594973781,10.0,1000000,179.3217551561234
12,23_14,0.04943554631041431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.04943554631041431,10.0,1000000,179.3217551561234
13,23_24,0.05262877380630897,0.0,-3.1,-0.1157886321418927,-0.344243930043729,0.0,0.0,0.0,133.6480099082998,0.05262877380630897,10.0,1000000,179.3217551561234
14,23_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.73,0.0,10.0,1000000,179.3217551561234
15,24_16,0.04680683950013766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.06,0.04680683950013766,10.0,1000000,179.3217551561234
16,24_23,0.05262877380630896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.39,0.05262877380630896,10.0,1000000,179.3217551561234
17,3_13,0.02357165514183931,24.83583099490099,-0.1553456239803821,-0.1070714965425518,0.0,0.01224891428062129,0.1583047510215307,0.0,26.06416900509904,0.02357165514183931,0.0667,1000000,179.3217551561234
18,3_16,0.05194528341267282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9,0.05194528341267282,10.0,1000000,179.3217551561234
19,3_23,0.07330241274403192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.3,0.07330241274403192,10.0,1000000,179.3217551561234
20,3_24,0.03072200296210622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9,0.03072200296210622,10.0,1000000,179.3217551561234
21,8_24,0.03738868711603827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.2,0.03738868711603827,10.0,1000000,179.3217551561234
22,9_13,0.02454754083343747,33.998677576677,-0.1645983049565381,-0.1073642622500312,0.0,0.01676798684033152,0.2228394920631502,0.0,36.001322423323,0.02454754083343747,0.05,1000000,179.3217551561234
0,12_16,0.0,63.23025549597332,0.0,0.0,0.0,0.08696735481876645,0.1162397400615711,77.11874135011385,0.0,0.0,0.0333,2000000,179.3217551561234
1,12_24,0.0,106.3519900917002,0.0,0.0,0.0,0.1357522980718533,0.8763004587531786,0.0,0.0,0.0,0.05,2000000,179.3217551561234
2,13_16,0.03543097661837874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.04,0.03543097661837874,10.0,2000000,179.3217551561234
3,13_23,0.05678810594973781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.9,0.05678810594973781,10.0,2000000,179.3217551561234
4,13_24,0.01420769616781213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.58,0.01420769616781213,10.0,2000000,179.3217551561234
5,14_12,0.01245416232187033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.23025549597332,0.01245416232187033,10.0,2000000,179.3217551561234
6,14_16,0.04361361200424301,0.0,-3.1,-0.1130840836012729,7.548809731856879,0.0,0.0,0.0,0.02974450402680873,0.04361361200424301,10.0,2000000,179.3217551561234
7,14_23,0.04943554631041431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.14,0.04943554631041431,10.0,2000000,179.3217551561234
8,16_24,0.04680683950013766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.45,0.04680683950013766,10.0,2000000,179.3217551561234
9,1_24,0.05338870927875529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.84,0.05338870927875529,10.0,2000000,179.3217551561234
10,23_12,0.04419382957179079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.3519900917002,0.04419382957179079,10.0,2000000,179.3217551561234
11,23_13,0.05678810594973781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.59,0.05678810594973781,10.0,2000000,179.3217551561234
12,23_14,0.04943554631041431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.04943554631041431,10.0,2000000,179.3217551561234
13,23_24,0.05262877380630897,0.0,-3.1,-0.1157886321418927,-0.344243930043729,0.0,0.0,0.0,133.6480099082998,0.05262877380630897,10.0,2000000,179.3217551561234
14,23_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.73,0.0,10.0,2000000,179.3217551561234
15,24_16,0.04680683950013766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.06,0.04680683950013766,10.0,2000000,179.3217551561234
16,24_23,0.05262877380630896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.39,0.05262877380630896,10.0,2000000,179.3217551561234
17,3_13,0.02357165514183931,24.83583099490099,-0.1553456239803821,-0.1070714965425518,0.0,0.01224891428062129,0.1583047510215307,0.0,26.06416900509904,0.02357165514183931,0.0667,2000000,179.3217551561234
18,3_16,0.05194528341267282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9,0.05194528341267282,10.0,2000000,179.3217551561234
19,3_23,0.07330241274403192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.3,0.07330241274403192,10.0,2000000,179.3217551561234
20,3_24,0.03072200296210622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9,0.03072200296210622,10.0,2000000,179.3217551561234
21,8_24,0.03738868711603827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.2,0.03738868711603827,10.0,2000000,179.3217551561234
22,9_13,0.02454754083343747,33.998677576677,-0.1645983049565381,-0.1073642622500312,0.0,0.01676798684033152,0.2228394920631502,0.0,36.001322423323,0.02454754083343747,0.05,2000000,179.3217551561234
